FOOD COMMODITY GROUP,Food commodity ITEM,Food commodity TYPOLOGY,Food commodity sub-TYPOLOGY,final_co2,final_wfp
CROPS,PEPPER ( PIPER SPP .),SPICIES,-,"0,84",7611
CROPS,PEPPER ( g ),VEGETABLES NOT HEATED GREENHOUSE,-,"1,18",379
CROPS,PEPPERMINT,SPICIES,-,"0,84",288
CROPS,PIGEON PEA,LEGUMES DRIED,-,"0,52",5494
CROPS,PINEAPPLE,FRUIT OPENFIELD,FRUIT OTHER ,"0,28",255
CROPS,PINEAPPLE ( ),FRUIT IMPORTED,-,"0,55",255
CROPS,PISTACHIO,NUTS,-,"1,60",11363
CROPS,PLANTAIN,FRUIT,"FRUIT (excluded citrus, wild berries and olives)","0,32",1602
CROPS,PLUM,FRUIT OPENFIELD,FRUIT OTHER ,"0,32",2180
CROPS,POMEGRANATE,FRUIT OPENFIELD,FRUIT OTHER ,"0,32","1506,5"
CROPS,POMEGRANATE ( ),FRUIT IMPORTED,-,"1,07",748
CROPS,POMELO,FRUIT OPENFIELD,CITRUS FRUIT ,"0,34","654,0"
CROPS,POPPY SEED,SEEDS,-,"0,88",2188
CROPS,POTATO,STARCHY TUBERS,-,"0,24",555
CROPS,PUMPKIN,VEGETABLES OPENFIELD,"VEGETABLES (fruits, steems, flowers)","0,24",336
CROPS,QUINOA,GRAINS,-,"0,97",1618
CROPS,RADISH,VEGETABLES OPENFIELD,ROOTS & BULBS ,"0,25","272,0"
CROPS,RAISIN,DRIED FRUIT,-,"0,81","2636,5"
CROPS,RAISINS,DRIED FRUIT,-,"0,81",2433
CROPS,RAPE SEED,SEEDS,-,"0,88","3087,5"
CROPS,RAPESEED,SEEDS,-,"0,88",2271
CROPS,RASPBERRY,FRUIT OPENFIELD,WILD BERRIES ,"0,64",413
CROPS,RASPBERRY ( G ),FRUIT HEATED GREENHOUSE,-,"2,88",413
CROPS,RICE ,RICE*,-,"2,19",1597
CROPS,ROCKMELON,FRUIT OPENFIELD,FRUIT OTHER ,"0,32","1506,5"
CROPS,RYE,GRAINS,-,"0,57",1554
CROPS,SAFFRON,SPICIES,-,"0,84",731000
CROPS,SESAM SEED,SEEDS,-,"0,88",9371
CROPS,SHALLOT,VEGETABLES,ROOTS & BULBS,"0,25",272
CROPS,SORGHUM,GRAINS,-,"0,57",3048
CROPS,SOYBEAN,LEGUMES,-,"0,56",4615
CROPS,SPINACH,VEGETABLES OPENFIELD,GREEN LEAFY VEGETABLES ,"0,34",292
CROPS,SQUASH,VEGETABLES,"VEGETABLES (fruits, steems, flowers)","0,33",336
CROPS,STARCHY ROOTS,STARCHY TUBERS,-,"0,27","554,8"
CROPS,STRAWBERRY,FRUIT OPENFIELD,WILD BERRIES ,"0,61",413
CROPS,STRAWBERRY ( G ),FRUIT HEATED GREENHOUSE,-,"2,88",413
CROPS,STRAWBERRY ( ),FRUIT IMPORTED,-,"1,07",413
CROPS,STRING BEAN,VEGETABLES,"VEGETABLES (fruits, steems, flowers)","0,33",547
CROPS,SUNFLOWER SEED,SEEDS,-,"0,88",3366
CROPS,SWEDE,VEGETABLES OPENFIELD,ROOTS & BULBS ,"0,25","272,0"
CROPS,SWEET POTATO,STARCHY TUBERS,-,"0,27",383
CROPS,TANGERIN,FRUIT OPENFIELD,CITRUS FRUIT ,"0,34",748
CROPS,TARO,STARCHY TUBERS,-,"0,27",606
CROPS,TOMATO,VEGETABLES OPENFIELD,"VEGETABLES (fruits, steems, flowers)","0,45",41
CROPS,TOMATO ( G ),VEGETABLES HEATED GREENHOUSE,-,"2,43",41
CROPS,TOMATO ( g ),VEGETABLES NOT HEATED GREENHOUSE,-,"0,91",41
CROPS,TURNIP,VEGETABLES OPENFIELD,ROOTS & BULBS ,"0,25",195
CROPS,VANILLA BEAN,SPICIES,-,"0,84",126505
CROPS,VEGETABLES,VEGETABLES OPENFIELD,"VEGETABLES (fruits, steems, flowers)","0,54","362,0"
CROPS,WALNUT,NUTS,-,"2,06",11264
CROPS,WALNUT SHELLED,NUTS SHELLED,-,"1,11","9172,5"
CROPS,WALNUT SHELL,NUTS WITH SHELL,-,"1,11",4918
CROPS,WATERMELON,FRUIT OPENFIELD,FRUIT OTHER ,"0,32",185
CROPS,WHEAT,GRAINS,-,"0,57",1639
CROPS,YAM,STARCHY TUBERS,-,"0,27",343
CROPS,ZUCCHINI,VEGETABLES OPENFIELD,"VEGETABLES (fruits, steems, flowers)","0,70",336
CROPS,ZUCCHINI ( g ),VEGETABLES NOT HEATED GREENHOUSE,-,"1,18",336
FISHING,ALFONSINO,FISH,-,"5,19","2313,5"
FISHING,ANCHOVY,FISH,-,"0,82","2313,5"
FISHING,ANGLERFISH,FISH,-,"5,19","2313,5"
FISHING,BARNACLE,SHELLFISH,-,"2,30",1856
FISHING,BLACK CARP,FISH,-,"5,19",2555
FISHING,CARP,FISH,-,"5,19",2364
FISHING,CATFISH,FISH,-,"5,19","2313,5"
FISHING,COD,FISH,-,"3,08",2782
FISHING,COD ( F ),FISH FROZEN,-,"3,03","2313,5"
FISHING,COD FISH STICK,FISH PROCESSED,-,"2,12","2313,5"
FISHING,CRUSTACEAN,SHELLFISH* (crustacean),CRUSTACEAN*,"7,04",1974
FISHING,CUTTLEFISH,SHELLFISH,CEPHALOPOD (SUB-TYP),"5,80",1856
FISHING,DIAMOND FISH,FISH,-,"5,19","2313,5"
FISHING,EEL,FISH,-,"5,19","2313,5"
FISHING,FISH MIXED,FISH,-,"4,99","2313,5"
FISHING,FISH STICK ( F ),FISH FROZEN,-,"2,20","2313,5"
FISHING,FLATFISH,FISH,-,"5,19","2313,5"
FISHING,FLATHEAD,FISH,-,"5,19","2313,5"
FISHING,FLOUNDER,FISH,-,"5,19",798
FISHING,FORK BEARD,FISH,-,"5,19","2313,5"
FISHING,GILSTHEAD SEABREAM,FISH,-,"5,19","3543,5"
FISHING,GRASS CARP,FISH,-,"5,19",2229
FISHING,GROUPER,FISH,-,"5,19",360
FISHING,HADDOCK,FISH,-,"5,19","2313,5"
FISHING,HADDOCK ( F ),FISH FROZEN,-,"2,20","2313,5"
FISHING,HAKE,FISH,-,"10,40","2313,5"
FISHING,HAKE FISH STICK,FISH PROCESSED,-,"2,12","2313,5"
FISHING,HERRING,FISH,-,"1,24","2313,5"
FISHING,HERRING ( F ),FISH FROZEN,-,"1,30","2313,5"
FISHING,KRILL,SHELLFISH,-,"5,67",1856
FISHING,LING,FISH,-,"5,19","2313,5"
FISHING,LOBSTER,SHELLFISH,-,"20,25",1856
FISHING,MACKEREL,FISH,-,"1,80","2313,5"
FISHING,MACKEREL ( F ),FISH FROZEN,-,"2,20","2313,5"
FISHING,MAJOR CARP,FISH,-,"5,19",3808
FISHING,MAKEREL FISH STICK,FISH PROCESSED,-,"2,12","2313,5"
FISHING,MANDARIN FISH,FISH,-,"5,19",88
FISHING,MEGRIM,FISH,-,"5,19","2313,5"
FISHING,MILKFISH,FISH,-,"5,19","2471,5"
FISHING,FISH ( F ),FISH FROZEN,-,"2,20","2313,5"
FISHING,MUSSELS,SHELLFISH,BIVALVES* (SUB-TYP) (Mussels),"0,46",1856
FISHING,OCTOPUS,SHELLFISH,CEPHALOPOD (SUB-TYP),"5,80",1856
FISHING,OCTOPUS ( F ),SHELLFISH FROZEN,-,"11,47",1856
FISHING,PANGASIID,FISH,-,"5,19","1909,5"
FISHING,PILCHARD,FISH,-,"5,19","2313,5"
FISHING,PLAICE,FISH,-,"5,19","2313,5"
FISHING,POLLOCK,FISH,-,"5,19","2313,5"
FISHING,POLLOCK ( F ),FISH FROZEN,-,"2,20","2313,5"
FISHING,POLLOCK STICK ( F ),FISH FROZEN,-,"2,20","2313,5"
FISHING,POMFRET,FISH,-,"5,19","2313,5"
FISHING,PORBEAGLE,FISH,-,"5,19","2313,5"
FISHING,PRAWNS GIANT,SHELLFISH* (crustacean),CRUSTACEAN*,"7,04",1738
FISHING,PRAWNS / SHRIMPS,SHELLFISH,CRUSTACEAN* (SUB-TYP) (Prawns/Shrimps),"7,04","1856,0"
FISHING,PRAWNS / SHRIMPS ( F ),SHELLFISH FROZEN,-,"15,07",1856
FISHING,DRUM,FISH,-,"5,19",2202
FISHING,RHOMBUS,FISH,-,"5,19","2313,5"
FISHING,ROCK FISH,FISH,-,"5,19","2313,5"
FISHING,SALMON,FISH,-,"3,37",2193
FISHING,SALMON ( F ),FISH FROZEN,-,"1,61","2313,5"
FISHING,SARDINE,FISH,-,"0,90","2313,5"
FISHING,SEA - BASS,FISH,-,"3,60","2313,5"
FISHING,SEABASS,FISH,-,"5,19",6524
FISHING,SHARK,FISH,-,"5,19","2313,5"
FISHING,SILVERBARB,FISH,-,"5,19","2861,5"
FISHING,SOLE,FISH,-,"5,19","2313,5"
FISHING,SOLE ( F ),FISH FROZEN,-,"2,20","2313,5"
FISHING,SQUID,SHELLFISH,CEPHALOPOD (SUB-TYP),"5,80",1856
FISHING,STURGEON,FISH,-,"5,19",13420
FISHING,SWARDFISH,FISH,-,"5,19","2313,5"
FISHING,TILAPIA,FISH,-,"5,19",2263
FISHING,TROUT,FISH,-,"4,20",2188
FISHING,TROUT ( F ),FISH FROZEN,-,"2,20","2313,5"
FISHING,TUNA,FISH,-,"3,68","2313,5"
FISHING,TUNA ( F ),FISH FROZEN,-,"2,64","2313,5"
FISHING,TUNA,FISH PROCESSED,-,"2,10","2313,5"
FISHING,TURBOT,FISH,-,"5,19",1504
FISHING,WHITING,FISH,-,"5,19","2313,5"
FISHING,WUCHANG BREAM,FISH,-,"5,19",10550
