name,co2,wfp
semisweet chocolate curls,3.16,20717.0
Crisco Crisco cup butter,8.48,5659.0
Ro Tel tomatoes juice Tomatoes chiles,0.45,41.0
honey clover,0.84,61205.0
chives florets onions,0.22,290.0
chocolate candy melts chocolate candy wafer discs,3.16,20717.0
cherry gelatin,0.46,1506.5
medium sweet potato cut lengthwise moons,0.24,555.0
banana rings tablespoons bell peppers kind,0.34,748.0
torani sugar cinnamon syrup,0.84,15526.0
rotini pasta pasta package directions spinach wheat variety,1.21,1508.0
coarsley garlic,0.25,589.0
bavette pasta fettucine,1.21,1508.0
Urad Dal gram beans,2.26,801.0
mussels sand,0.46,1856.0
cartons strawberry yogurt ounce cartons yogurt,0.61,413.0
semisweet milk chocolate,3.16,20717.0
butter bowl,8.48,5659.0
chives top potatoes,0.81,575.0
combination fruit cranberries dates cherries blueberries,0.81,2636.5
peach liqueur peach schnapps peaches,0.45,1979.0
fennel teaspoon,0.33,362.0
water wineglass,0.66,524.0
burgundy wine,0.66,524.0
mccormick butter flavor extract,8.48,5659.0
hokkaido peel squash,0.33,336.0
butter oil butter,8.48,5659.0
milk chocolate Hershey chocolate,3.16,20717.0
cottage cheese cottage cheese,8.93,5253.0
avocado drip lime juice browning,0.54,1805.0
box quinoa Seeds Change tomato basil blend oz,0.97,1618.0
loaf bread pound,0.86,667.0
beer anything beer,0.69,155.0
beef pepper steak lbs beef stew meat,0.65,379.0
rice tablespoons,2.19,1597.0
baby olives,0.64,3015.0
ricotta cheese milk thin yogurt,8.93,5253.0
piquillo peppers bell,0.65,379.0
slices onions addition,0.22,290.0
eggplants crosswise,0.19,362.0
smarties candies cup raisins,0.81,2636.5
coffee dissolve Almond Ext,1.88,11264.0
ricotta cheese room temperature,8.93,5253.0
garbanzo beans juices,2.26,801.0
bacon bits home,5.99,6116.0
juice cocktail tomato juice,2.86,267.0
peach salsa,0.45,1979.0
Mountain Dew soda code,3.08,2782.0
firm potato,0.24,555.0
dark orange marmalade,0.3,654.0
vanilla beans,2.26,801.0
fruits raisins apricots dates,0.3,1287.0
size mozzarella cheese balls pieces water,8.93,5253.0
orange juice teaspoon orange liqueur,0.46,1019.0
coconut water flesh,1.07,1971.0
chicken drumstick,5.19,2202.0
use blueberry etc,0.78,845.0
tomato ml,0.45,41.0
ricotta part skim light,5.45,2470.5
Rice Krispies bar increase cups,2.19,1597.0
pasta buccatini perciatelli,1.21,1508.0
monterey jack cheese use parmesan,8.93,5253.0
milk chocolate melts Wilton Candy Melts,3.16,20717.0
apples Macintosh,0.25,622.0
butter tablespoons Tbsp,8.48,5659.0
sesame seed rolls onion rolls,0.22,290.0
mix butterscotch,8.48,5659.0
ground habanero peppers spicy thing,0.65,379.0
carrot size pieces,0.24,195.0
drumstick bone,5.19,2202.0
celery thick thing,0.33,362.0
pepper ground liking tablespoons ground liking,0.65,379.0
head romaine lettuce lengthwise,0.41,237.0
gluten pasta fettuccine spaghetti,1.21,1508.0
artichoke hearts reserve liquid,0.33,818.0
ginger poultry,0.84,1657.0
rice optional tablespoons rice,2.19,1597.0
craisins Dried cranberries,0.81,2636.5
linguine match title figure,0.32,3350.0
goat cheese cup template,8.93,5253.0
summer squash zucchini crookneck squash,0.81,750.5
tomato sauce oz,0.45,41.0
mozzarella cheese cut inch thick slices,8.93,5253.0
star anise use segments,0.84,8280.0
wine vinegar dressing,0.66,524.0
cucumbers firm,0.27,353.0
ripe camembert cheese brie cheese,9.59,5253.0
cheese parm romano mix,8.93,5253.0
room temperature butter,8.48,5659.0
stalk broccoli spears,0.57,336.0
cheddar cheese tablespoons template,8.93,5253.0
packages anisette toast,0.84,8280.0
flour wheat pastry flour,0.57,1639.0
g wholewheat flour,0.87,1849.0
package buttermilk biscuit ounces,8.48,5659.0
salmon salmon pan amount water cook min drain,3.37,2193.0
Hersheys Chocolate Syrup fudge ice cream topping,3.16,20717.0
wheat pita half inch,0.57,1639.0
pumpernickel breadcrumbs,0.86,667.0
confectioners rolling,5.19,2313.5
bittersweet chocolate ounces chocolate wrap,3.16,20717.0
butter cup template room temperature minutes,8.48,5659.0
shao wine tablespoons,0.66,524.0
cloves jar,0.84,61205.0
onion saute onion,0.22,290.0
pasta chili,1.21,1508.0
fig figs,0.32,3350.0
milk rice soy allergies,2.19,1597.0
purple plums halves,0.32,2180.0
sugar coating tin,0.67,1788.0
cloves Pureed,0.84,61205.0
apples variety Fuji Gala,0.25,622.0
tomatoes cut slices seeds,0.45,41.0
scallions strips length pepper strips,0.65,379.0
milk chocolate chips bag,3.16,20717.0
Rice Chex crispy rice cereal squares,2.19,1597.0
peanuts cocktail,0.45,1979.0
garlic potatoes recipe,0.81,575.0
slices bread ciabatta bread,0.86,667.0
onion cut half wedges,0.22,290.0
pepper fine ground,0.65,379.0
wine Dry optional,0.66,524.0
medium tomatoes inch pieces,0.45,41.0
beans beans choice,2.26,801.0
packages cheese step prep,8.93,5253.0
mint peppermint extract,0.65,379.0
tomato sauce homemade stuff,0.45,41.0
pasta penne rigatoni fusilli,1.21,1508.0
beetroot cut chunks,0.25,272.0
jalapeno peppers chili pepper,0.65,379.0
pepper kind,0.65,379.0
medium tomatoes pieces,0.45,41.0
grapefruit tangerine juice Ruby Tangerine,0.34,748.0
blueberry pie filling,0.78,845.0
fudge chocolate syrup,3.16,20717.0
milk balls maraschino cherry,0.46,1506.5
dark chocolate squares,3.16,20717.0
orange liqueur Grand Marnia,0.3,654.0
mayonnaise use fat change flavor,1.46,572.0
raspberry walnut vinaigrette,0.64,413.0
slender carrot chunks cups,0.24,195.0
packages raspberries,1.18,748.0
mini potatoes potatoes,0.81,575.0
mustard seed,0.88,2809.0
celery ribs taste texture,0.33,362.0
ground cinnamon ginger,0.84,15526.0
anise optional,0.84,8280.0
carrot cut size strips,0.24,195.0
package sun tomato pesto,2.72,2174.0
apples peel diced,0.25,622.0
box Lipton Onion Soup Mix packets,0.22,290.0
brandy orange juice,0.46,1019.0
slices bread cut cubes baguette,0.86,667.0
pints oranges strawberries,0.3,654.0
ginger ale water water,0.84,1657.0
asparagus woody bunch,0.83,2150.0
oil lemon peel,0.34,642.0
cloves cauliflower,0.31,285.0
avocado mexico,0.54,1805.0
campbells cream broccoli soup cream celery soup,5.45,3838.0
breadcrumbs ounces crumbs,0.86,667.0
peanut oil frying cups oil frying,2.11,7529.0
dashes pepper powder,0.65,379.0
apples apple pie mixture,0.25,622.0
cream fat use lite non fat,5.45,3838.0
ranch dip spinach dip,0.81,834.0
salmon jack mackerel ounces mackerel,1.8,2313.5
chocolate candy cups smarties candies,3.16,20717.0
apple juice store,2.86,1140.0
feta crumbles feta olives tomatoes,0.64,3015.0
orange juice ounces juice,0.46,1019.0
jack cheese sub cheddar,8.93,5253.0
tomato juice taste,2.86,267.0
light wine,0.66,524.0
yellow potatoes,0.81,575.0
kidney beans water,2.26,801.0
cucumber seeds julienne,0.27,353.0
romaine lettuce salad greens,0.41,237.0
bean juice,0.43,5053.0
chocolate quality semisweet bittersweet,3.16,20717.0
onions part part garnish,0.22,290.0
chocolate egg,3.16,20717.0
bottle Squirt soda citrus soda,0.34,457.0
sugar pineapple,0.25,622.0
beans half minutes,2.26,801.0
cherry pulp,0.46,1506.5
quarts onion,0.22,290.0
boxes shells cheese,8.93,5253.0
egg noodles package frozen broccoli thawed,0.57,336.0
tomatoes firm ripe,0.45,41.0
baby carrots slices,0.81,750.5
cinnamon quills ground,0.84,15526.0
lentils confetti lentils,0.52,5874.0
package turnips purple,0.25,195.0
course ground almonds,1.88,11264.0
medium apples side,0.25,622.0
sugar tablespoon template pumpkin,0.24,336.0
cream mushroom soup regular,5.45,3838.0
medium russet potatoes medium potatoes,0.81,575.0
cheese piece template,8.93,5253.0
bunch onion part inch pieces,0.22,290.0
tomato bouillon flavor Knorr brand,0.45,41.0
toppings lettuce salsa chunks corn side suggestions lettuce salsa chunks template,0.41,237.0
loaf panettone bread crusts cut cubes,0.86,667.0
pasta farfalle elbow mac wagon wheels,1.21,1508.0
cubanel peppers cup template,0.65,379.0
wine See note,0.66,524.0
substitute wine flavor bit,0.66,524.0
fat cheddar cheese nonfat fat ounces nonfat,8.93,5253.0
crisp lettuce leaf,0.41,237.0
chocolate candy bar baking chips,3.16,20717.0
spicy cheese crackers,8.93,5253.0
mandarin orange segments amount,0.45,748.0
bread nane bread,0.86,667.0
almond liqueur cup walnut liqueur,1.88,11264.0
pineapple chunks juice,0.25,622.0
potato Yukon gold,0.24,555.0
cut beans Note,2.26,801.0
cream chicken soup flavor soup,5.45,3838.0
eggs Room Temperature,3.2,2562.0
lettuce vinegar salt,0.41,237.0
peaches cup apple,0.25,622.0
eggs creamy,5.45,3838.0
medium English cucumber cut lengthwise slices,0.27,353.0
cheddar cheese cube bite,8.93,5253.0
spicy tomato sauce cup tomato chili sauce,0.45,41.0
pasta dente,1.21,1508.0
puff pastry butter hand,8.48,5659.0
peppers peppers bells,0.65,379.0
cranberries raisins chips,0.81,2636.5
cloves eat,0.84,61205.0
package carrots,0.81,750.5
pumpernickel bread bread,0.86,667.0
soy sauce sub regular,1.46,613.0
tomato sauce Hunt Original situation,0.45,41.0
envelope chocolate powder WITHOUT marshmallows,3.16,20717.0
apple mint leaf pineapple,0.25,622.0
grain oats combination oats berries millet bran etc,0.57,4478.0
container strawberry yogurt cup,0.61,413.0
barley cup template,0.48,1423.0
thin onions,0.22,290.0
mayonnaise cup template,1.46,572.0
medium bananas cut slices,0.34,748.0
granny smith apple half,0.25,622.0
cloves press teaspoon,0.84,61205.0
turnip Cubed,0.25,195.0
pineapple green,0.25,622.0
quarts apple cider vinegar,0.25,622.0
chocolate disk ounces chocolate disk,3.16,20717.0
mangoes ripe mangos,0.31,1855.0
bread lb,0.86,667.0
medium plantains,0.32,1602.0
pepperoncini pepper,0.65,379.0
carrots rounds bias need,0.81,750.5
tomatoes taste,0.45,41.0
russet potato inch,0.24,555.0
cheddar cheese g,8.93,5253.0
pumpernickel breadcrumbs cups breadcrumbs,0.86,667.0
yogurt apricot,0.3,1287.0
garlic oil notetemplate,0.25,589.0
Salad basil pesto pasta mix,1.21,1508.0
breadcrumbs kind,0.86,667.0
poblano peppers deribbed,0.65,379.0
firm tofu inch cubes,2.27,1724.0
pasta noodles fusilli,1.21,1508.0
medium potatoes chunks minutes,0.81,575.0
walnuts kernel,2.06,11264.0
peaches thick wedges,0.45,1979.0
creamy peanut butter,8.48,5659.0
lemons use juice,0.34,642.0
orange food,0.3,654.0
tube pasta,1.21,1508.0
orange marmalade syrup,0.3,654.0
cottage cheese tablespoons,8.93,5253.0
beans vanilla pod,2.26,801.0
pepper jam,0.65,379.0
fillet firm fish,2.2,2313.5
cilantro coriander leaf,0.84,8280.0
fruit bananas berries,0.34,748.0
packages eggs,3.2,2562.0
medium pepper dice,0.65,379.0
ripe papaya papaya banana papaya banana kiwi,0.34,748.0
achiote pepper,0.65,379.0
oranges dry,0.3,654.0
medium cloves pieces,0.84,61205.0
heads lettuce NOTE,0.41,237.0
water tomato sauce,0.45,41.0
passion fruit orange guava juice POG,0.32,1800.0
beans kind,2.26,801.0
bun filling choice,5.19,2313.5
russet potatoes chunks,0.81,575.0
Hines Moist Deluxe Strawberry Supreme,0.61,413.0
tomato juice Spicy Hot,2.86,267.0
container cream substitute IMO,5.45,3838.0
almonds chopped,1.88,11264.0
espresso cup coffee,0.55,960.0
cloves lenthwise,0.84,61205.0
salmon fillets inch cubes,3.37,2193.0
pork sausage use maple sugar apple cinnamon,0.25,622.0
onions skin,0.22,290.0
medium jonathan apples,0.25,622.0
raspberry jam cup fruit spread,0.64,413.0
grain rice blend Uncle Ben,2.19,1597.0
peppers peppers,0.65,379.0
plum roma tomatoes vine template,0.32,2180.0
kidney beans ones,2.26,801.0
cream mushroom soup cream soup choice,5.45,3838.0
rice accompaniment,2.19,1597.0
Cheese Whiz,8.93,5253.0
Grand Marnier brandy orange liqueur,0.3,654.0
carrot sweet,0.24,195.0
substitute wine c sugar,0.66,524.0
wheat penne rigate,0.57,1639.0
chocolate squares chunks,3.16,20717.0
peppercorn juice,0.65,379.0
eggplant peel,0.19,362.0
peach halves syrup,0.45,1979.0
carrot pieces,0.24,195.0
experiment cheeses course bits kinds hand,8.93,5253.0
Mexican style tomatoes cilantro lime,0.34,642.0
onion shallot bulb,0.22,290.0
salad blend romaine cabbage carrot,0.24,195.0
strawberry cut fourths,0.61,413.0
almond Cooks Note,1.88,11264.0
pasta corkscrew,1.21,1508.0
baby eggplants lengthwise pound,0.19,362.0
peach slices cups,0.45,1979.0
tomatoes Muir Glen Hunt Contadina Red Pack,0.45,41.0
strips lemon rind,0.34,642.0
scoops Hagen Daaz vanilla ice cream brands Hagen Daaz,5.45,3838.0
wine preferably Chablis,0.66,524.0
loaf dark rye inch round,0.57,1554.0
ricotta cheese cheese,8.93,5253.0
butter oil tablespoons,8.48,5659.0
cheddar cheese outside ball,8.93,5253.0
Eggland Best eggs room temperature,3.2,2562.0
meyer lemon juice lemon,0.34,642.0
pineapple juice concentrate,2.86,1140.0
apple cider apple cider apple juice apple cider,2.86,1140.0
tomato Ro tel spicy,0.45,41.0
medium head romaine lettuce outer,0.41,237.0
plum vinegar note,0.32,2180.0
approx lb pasta,1.21,1508.0
summer squash winter squash,0.33,336.0
slices bread slices grain bread,0.86,667.0
pepperjack cheese,8.93,5253.0
half half cream use milk,5.45,3838.0
dash chili pepper,0.65,379.0
stalk lemongrass cut lengths,0.34,642.0
package carrot,0.24,195.0
romaine lettuce cup greens,0.41,237.0
plum tomato thick,0.32,2180.0
coarsley walnuts,2.06,11264.0
milk chocolate chips Hershey,3.16,20717.0
ginger inch root,0.84,1657.0
artichokes water oil,0.33,818.0
cream cup half half cream,5.45,3838.0
beer room temperature,0.69,155.0
berries cherries strawberryies blackberries blueberries,0.61,413.0
sun tomato slivers,0.45,41.0
light butter buttery spread Brummel Brown water,8.48,5659.0
package sugar instant pistachio pudding,1.6,11363.0
bacon crispness,5.99,6116.0
onions slices inch thick,0.22,290.0
chocolate wafers Fine Crush,3.16,20717.0
potatoes russet Yukon gold,0.81,575.0
stir fry sauce sesame ginger flavor,0.84,1657.0
pepperoni cut lengthwise purchase stick kind,0.65,379.0
milk semisweet chocolate piece,3.16,20717.0
slices bell peppers rings,0.65,379.0
package campbells onion soup mix,0.22,290.0
rice length grain,2.19,1597.0
cream tartar teaspoon template,5.45,3838.0
colby monterey jack cheese fat,8.93,5253.0
slice wheat bread,0.86,667.0
cream note,5.45,3838.0
onions onion cut slices,0.22,290.0
apricot jam smooth whizz blender till,0.3,1287.0
fillets halibut cod turbot haddock work,3.08,2782.0
substitute asiago parmesan,9.59,5253.0
cheddar cheese granules,8.93,5253.0
monterey jack cheese ounce template cut stick,8.93,5253.0
spaghetti linguini,5.19,2313.5
frozen soybeans,2.26,801.0
root beer Barq,0.69,155.0
liters quality vanilla ice cream,5.45,3838.0
orange roughy fillet fillets,0.3,654.0
butter extra,8.48,5659.0
wheat bread split half,0.86,667.0
almond marzipan,1.88,11264.0
cranberry juice Knudsen Cranberry,2.86,1019.0
pumpkin ounces puree,0.24,336.0
tomatoes style,0.45,41.0
pineapple tidbits DRAIN,0.25,622.0
onions Americans onion Australians,0.22,290.0
breadcrumbs C,0.86,667.0
cheese padano,8.93,5253.0
almond garnish,1.88,11264.0
artichoke hearts lengthwise dry,0.33,818.0
mayonnaise cup yogurt,1.46,572.0
vegetarian beans,2.26,801.0
banana chile,0.34,748.0
bacon steaks,5.99,6116.0
pineapple chunk bite size pieces,0.25,622.0
dairy vanilla coffee creamer,5.45,3838.0
montreal spice ground pepper,0.65,379.0
chili peppers jalapeno pepper,0.65,379.0
slices bread caraway fine,0.86,667.0
vanilla soy ice cream optional cup Rice Dream Vanilla Frozen Dessert,5.45,3838.0
smith apples lbs,0.25,622.0
pain campagne bread,0.86,667.0
cheddar cheese jack cups,8.93,5253.0
tomatoes tomatoe,0.45,41.0
box dark chocolate brownie mix,3.16,20717.0
kidney bean cans,0.43,5053.0
package raspberry Jello gelatin,0.64,413.0
cocoa powder chocolate shavings,3.16,15618.0
berries blueberries strawberries raspberries blackberries,1.18,748.0
tomato juice cup juice,2.86,267.0
butter Optional,8.48,5659.0
petite potatoes,0.81,575.0
coconut milk frozen,0.54,2030.0
peppermint candies powder cup candy cane powder,0.65,379.0
Brussels coating,0.67,1788.0
package tofu package template,2.27,1724.0
fruit apricots peaches apples,0.25,622.0
plums tomataoes,0.32,2180.0
mexico chili tsp pepper flakes,0.65,379.0
homemade tomato soup,0.45,41.0
quality mayonnaise ml home template,1.46,572.0
martin potato bread party rolls,0.86,667.0
oil oil c applesauce,0.25,622.0
apricot halves,0.3,1287.0
packet pasta shells,1.21,1508.0
coconut milk please,0.54,2030.0
jalapeno peppers ounce chilies,0.65,379.0
medium papayas,0.32,460.0
coconut milk cream sweet,0.54,2030.0
slice bread slices bread,0.86,667.0
orange blossom water Mazahar,0.3,654.0
olives IMO dish tast,0.64,3015.0
beans Progresso Green Giant,2.26,801.0
freshley ground pepper,0.65,379.0
rainbow trout fins,4.2,2188.0
pepper pinch cayenne,0.65,379.0
steak tomatoes,0.45,41.0
aloha shoyu soy sauce,1.46,613.0
seedless raspberry preserves,0.64,413.0
onion butter minutes,8.48,5659.0
clove half,0.84,61205.0
thick bacon lb template,5.99,6116.0
cheese Saga Maytag cup ounces cup,8.93,5253.0
saffron rice servings,2.19,1597.0
carrot matchsticks produce section,0.24,195.0
saltine crackers oatmeal,0.67,1788.0
jar pasta sauce Prego Sausage Garlic,1.21,1508.0
buttermilk pancake,8.48,5659.0
medium zucchini lengthwise cut chunks,0.81,750.5
butternut squash cut chunks inch cubes seeds pulp,8.48,5659.0
breadcrumbs bread,0.86,667.0
medium russet potatoes potatoes pounds,0.81,575.0
mango chutney,0.31,1855.0
lemon half rounds,0.34,642.0
russet potatoes bit size pieces,0.81,575.0
head Baby Spinach,0.81,834.0
onion Large Dice,0.22,290.0
pepperoni slice cut half,0.65,379.0
dairy mayonnaise,1.46,572.0
hand almonds pan,1.88,11264.0
strawberry syrup Jello Bake Strawberry Cheesecake kit,8.93,5253.0
jar pasta meat,1.21,1508.0
baby carrots carrots lengthwise,0.81,750.5
beer avoid light beers,0.69,155.0
butter scant,8.48,5659.0
tomato soup oz,0.45,41.0
chocolate candy Holiday Ms,3.16,20717.0
slices bread bruschetta,0.86,667.0
brie cheese Cut cubes,8.93,5253.0
romaine lettuce cut ribbons leaf template,0.41,237.0
loaf bread diameter,0.86,667.0
pepper sauce Papa Joe brand Scotch Bonnet pepper sauce,0.65,379.0
box floats chocolate etc,3.16,20717.0
round rice paper inches diameter,2.19,1597.0
squid tubes tentacles,5.8,1856.0
plain cream yogurt coconut milk,0.54,2030.0
jar pepperoncini peppers peppers,0.65,379.0
potato starch tablespoons,0.24,555.0
salmon sieve,3.37,2193.0
medium avocado thick pieces,0.54,1805.0
leaves lettuce torn,0.41,237.0
onion rings bottom bun overlap,0.22,290.0
tomato sauce roll,0.45,41.0
bacon cut pieces slices,5.99,6116.0
ripe strawberry half,0.61,413.0
apricot yogurt,0.3,1287.0
apricots pears,0.3,1287.0
espresso cup strength coffee,0.55,960.0
capsicums bell peppers,0.65,379.0
jar raspberry preserves ounce jar raspberry preserves,0.64,413.0
brach chocolate stars chocolate rosettes chocolate buds,3.16,20717.0
pesto sauce use fan,2.72,2174.0
chunks cheese,8.93,5253.0
apples grannies,0.25,622.0
beans trimmed stems,2.26,801.0
beans juice lb beans water,2.26,801.0
breads tortilla wraps wraps,0.86,667.0
onion r tsp soup mix taste,0.22,290.0
oranges blood oranges,0.3,654.0
imitation cream cheese brand,8.93,5253.0
packages color spiral pasta,1.21,1508.0
Caribbean jerk marinade,0.43,5053.0
lemons rounds,0.34,642.0
style plum sauce,0.32,2180.0
slices day whole grain bread,0.86,667.0
slices crusts dough bread,0.86,667.0
oil bread,0.86,667.0
tomato sauce May substitute cans tomatoes chunks tomatoes,0.45,41.0
chocolate toffee bar oz bars,3.16,20717.0
grain rice blend rice packets,2.19,1597.0
leaner meat butter,8.48,5659.0
vanilla beans split,2.26,801.0
pink lentils beans,2.26,801.0
ice cream yogurt,5.45,3838.0
lime juice Rose,0.34,642.0
haas avocado,0.54,1805.0
media Light Cream,5.45,3838.0
figs style,0.32,3350.0
fruit dates,0.81,2636.5
blueberries apples,0.25,622.0
cloves paper thin,0.84,61205.0
loaf bridgford bread dough,0.86,667.0
package inch peanut butter cups,8.48,5659.0
ones work peas ones work,0.81,850.0
French onions cheese ones,8.93,5253.0
cloves Christopher Ranch,0.84,61205.0
onions half moons,0.22,290.0
style peanut top toast,0.45,1979.0
wheat egg noodles,0.57,1639.0
eggs substitute equivilant,3.2,2562.0
Pillsbury Grands buttermilk biscuits,8.48,5659.0
chocolate tablespoons tablespoons margarine shortening,3.16,20717.0
rice breadcrumbs,0.86,667.0
apple Macintosh Jonathan Granny Smith,0.25,622.0
tuna cans tuna,3.68,2313.5
cream celery soup substitute,5.45,3838.0
slices halves bacon,5.99,6116.0
bottle sun tomato vinaigrette,0.45,41.0
package Wheat Chicken Herb Couscous,0.57,1639.0
rock,0.32,1506.5
vegetables carrots corn lb,0.81,750.5
broccoli flowerets,0.57,336.0
ranch buttermilk ranch packet style,8.48,5659.0
beans halves,2.26,801.0
almond extract teaspoon vanilla extract,1.88,11264.0
apple puree,0.25,622.0
milk chocolate g chocolate,3.16,20717.0
pepper chipotle peppers Adobo sauce,0.65,379.0
rice wine tablespoons wine vinegar,0.66,524.0
butter flavor imitation,8.48,5659.0
kiwi fruits ripe ones,0.49,514.0
lemon thyme leaves,0.34,642.0
vegetables jersalem artichokes peppers carrots onion celery potatoes onions,0.81,750.5
chocolate Hershey Nestle,3.16,20717.0
slices pieces bacon breast bacon works,5.99,6116.0
cream cheese Philadelphia brand template Philadelphia brand,8.93,5253.0
Sprite lime soda,0.34,642.0
butter margarine recipe,1.39,1324.0
use delicata squash,0.33,336.0
pancake mix wheat,0.57,1639.0
bittersweet chocolate oz chocolate chips oz,3.16,20717.0
package onion soup mix Knorr recipe mix,0.22,290.0
wine quality medium,0.66,524.0
Rice Krispies works,2.19,1597.0
plum tomatoes hand,0.32,2180.0
cubed mangoes pieces,0.31,1855.0
bacon approx slices,5.99,6116.0
parsley onion,0.22,290.0
substitute romaine lettuce,0.41,237.0
vegetables teaspoons oil,0.81,339.0
beans Cannellini kidney beans chick peas,2.26,801.0
kiwi fruits rounds,0.49,514.0
McButter powder,8.48,5659.0
firm potatoes,0.81,575.0
radiatore pasta nuggets,1.21,1508.0
cherry stems,0.46,1506.5
slices crusts use bread,0.86,667.0
lime gelatin packages,0.34,642.0
cacao sugar cocoa powder sugar,3.16,15618.0
slices farm bread,0.86,667.0
cheese deli,8.93,5253.0
saffron threads pinch,0.84,731000.0
pepper c,0.65,379.0
berries blueberries raspberries strawberries,1.18,748.0
orange roughy,0.3,654.0
tart apples Cortland Granny Smith Pippin,0.25,622.0
instant potatoes advance,0.81,575.0
ginger puree tablespoons,0.84,1657.0
corn use type peppers,0.65,379.0
chili beans brand Brand,2.26,801.0
bell peppers TJ,0.65,379.0
quart cherry ice cream vanilla ice cream,5.45,3838.0
teriyaki soy soy sauce,1.46,613.0
onion try onion Vidalia,0.22,290.0
plum tomatoes processor juices,0.32,2180.0
lentils c,0.52,5874.0
medium swede cut mm cubes,0.25,272.0
onion salt teaspoon onion powder,0.22,290.0
tequila tequila cup wine tequila,0.66,524.0
sub rice flour,2.19,1597.0
cinnamon teaspoon cinnamon teaspoon vanilla,0.84,15526.0
bittersweet chocolate extra,3.16,20717.0
cranberry juice fruit juice,2.86,1019.0
butter butter mix,8.48,5659.0
firm tomatoes firm template clean,0.45,41.0
cups mayonnaise,1.46,572.0
tomatoes cheese,8.93,5253.0
drop almond extract,1.88,11264.0
salsa tomato sauce,0.45,41.0
wheat bran miller wheat bran,0.57,1639.0
jar garlic cloves,0.84,61205.0
artichoke hearts ths,0.33,818.0
bucatini pasta ounces,1.21,1508.0
package potato,0.24,555.0
mix soups cream celery cream chicken mushroom soup etc,5.45,3838.0
board side knife clove intact b,0.84,61205.0
wheat berries instructions prepare advance,0.57,1639.0
box Rice Chex,2.19,1597.0
vine rip tomatoes,0.45,41.0
summer squash cut slices cups,0.33,336.0
Baby Spinach,0.81,834.0
chocolate wafer cookies Nabisco Chocolate Wafer Cookies recipe Chocolate Wafer Cookies Nabisco Chocolat,3.16,20717.0
onion quantity preference,0.22,290.0
champagne cup wine vinegar,0.66,524.0
chocolate chips calls mini Hershey Kisses,3.16,20717.0
medium garlic slices,0.25,589.0
bell peppers approximate amount,0.65,379.0
jack cheese cups template,8.93,5253.0
package kraft dinner macaroni cheese,8.93,5253.0
coconut milk fat kind Fat DELICIOUS,0.54,2030.0
beans beans,2.26,801.0
medium potatoes size shape foil,0.81,575.0
bell peppers bell peppers,0.65,379.0
oil enough potatoes,0.81,575.0
wine tablespoons apple juice,2.86,1140.0
oil cup bacon grease,5.99,6116.0
style bean,0.43,5053.0
loaf bread breadstick,0.86,667.0
peas cup corn,0.81,850.0
nuts peanuts seeds cashews seeds choice peanuts seeds cashews,0.45,1979.0
inch graham cracker crumb crust shortbread chocolate,0.86,667.0
smuckers chocolate syrup,3.16,20717.0
butter Use Sweet Cream Butter recipe,8.48,5659.0
ketchup approx,1.46,534.0
tomato sauce please note ounces please note,0.45,41.0
cos lettuce torn,0.41,237.0
eggs medium,3.2,2562.0
ground pepper lot,0.65,379.0
stalk lemongrass strips,0.34,642.0
salt teaspoon pepper teaspoon herbs provence,0.65,379.0
mozzarella cut strips legnth flowers,8.2,5253.0
soymilk rice almond,1.88,11264.0
beans spicy kind,2.26,801.0
package butterscotch chips,8.48,5659.0
Progresso reg plain crispy bread crumbs brown pan medium heat,0.86,667.0
chili pepper flakes tablespoon ginger,0.84,1657.0
seltzer water lime raspberry flavor,0.34,642.0
bahn pho rice noodles medium ounce pkg version bag,2.19,1597.0
bananas drop juice browning,0.34,748.0
lime coarse,0.34,642.0
cheese kind,8.93,5253.0
baby carrots lengthways,0.81,750.5
cinnamon stick inches thirds,0.84,15526.0
servings pasta people,1.21,1508.0
pepper penzeys,0.65,379.0
cheese combination Cheddar cheese,8.93,5253.0
Godiva ivory chocolate bars bars,3.16,20717.0
mature farmhouse cheddar cheese,8.93,5253.0
rice use rice cooker cups,2.19,1597.0
beer ounce bottle,0.69,155.0
kraft italiano cheese,8.93,5253.0
bacon crisp bacon grease,5.99,6116.0
container cream spread garden vegetables ounce container onions,0.81,339.0
dash grapefruit juice splash,2.86,675.0
frozen raspberries KEEP FROZEN,1.18,748.0
substitute apple,0.25,622.0
Hershey chocolate kisses NY Cheesecake,3.16,20717.0
type olives,0.64,3015.0
saffron rice mix Mahatma Brand,2.19,1597.0
semisweet chocolate quality Dark Chocolate,3.16,20717.0
limes Spicy,0.34,642.0
butter balance spread template,8.48,5659.0
sausages packet stripes bacon Baco Bits,5.99,6116.0
wheat pastry flour wheat,0.57,1639.0
butter earth balance,8.48,5659.0
cream mushroom soup,5.45,3838.0
Hershey chocolate Broken pieces,3.16,20717.0
onion grams,0.22,290.0
onions onion garnish,0.22,290.0
vanilla extract almond lemon,1.88,11264.0
almonds room temperature,1.88,11264.0
ground cloves addition,0.84,61205.0
lettuce pieces meat rice,0.41,237.0
hershey milk chocolate candy bars almonds,3.16,20717.0
cream lime wedges tomato,5.45,3838.0
ripe peaches wedges,0.45,1979.0
salmon paper thin,3.37,2193.0
granny smith apples dry,0.25,622.0
chocolate miniature chocolate chip,3.16,20717.0
cheese oz kind ricotta cottage cheese ounces kind ricotta cottage cheese,8.93,5253.0
Strawberry Berry Burst Cheerios,0.61,413.0
avocado strips,0.54,1805.0
